ticket_id,customer_id,category,priority,status,created_date,resolved_date,days_to_resolve,satisfaction_score,agent_id
791,4069,Product Defect,Low,In Progress,2/23/2026,3/9/2026,14,3,3
792,1257,Account Issue,Low,Escalated,4/14/2026,5/3/2026,19,3,89
793,178,Technical Support,Low,In Progress,10/9/2025,10/15/2025,6,1,40
794,995,Return Request,High,Resolved,8/14/2025,8/22/2025,8,2,158
795,3464,Technical Support,Low,Closed,12/9/2024,12/11/2024,2,5,206
796,4371,Billing,Low,Escalated,4/30/2025,5/15/2025,15,1,92
797,1520,Billing,High,Resolved,8/3/2024,8/18/2024,15,2,65
798,4916,Shipping,Medium,Open,5/23/2026,5/29/2026,6,3,65
799,610,Account Issue,Medium,In Progress,5/23/2026,,,,13
800,1969,General Inquiry,Medium,Resolved,12/25/2025,12/31/2025,6,3,11
801,116,Return Request,High,Resolved,12/16/2024,1/6/2025,21,4,64
802,3390,Product Defect,Low,Open,6/30/2024,,,,286
803,3219,General Inquiry,High,In Progress,5/16/2025,5/20/2025,4,3,265
804,8,Return Request,Medium,Open,3/27/2026,,,,179
805,3744,General Inquiry,Low,Resolved,5/6/2026,,,,225
806,3330,Technical Support,High,Closed,2/2/2025,,,,259
807,245,Account Issue,High,Open,6/8/2025,6/10/2025,2,4,291
808,2475,Return Request,Medium,Resolved,12/18/2024,,,,151
809,731,Billing,High,Open,12/18/2024,,,,284
810,1107,Billing,Low,Resolved,9/6/2024,9/8/2024,2,2,27
811,2565,Billing,Low,Escalated,1/21/2025,1/24/2025,3,1,46
812,3613,Account Issue,Medium,In Progress,8/15/2024,9/4/2024,20,5,56
813,2474,Shipping,Low,Resolved,1/22/2026,2/8/2026,17,2,175
814,3963,Product Defect,Low,Resolved,1/31/2025,2/7/2025,7,2,252
815,1748,Shipping,Medium,Open,7/11/2024,7/18/2024,7,2,124
816,999,Account Issue,High,Open,7/2/2025,7/16/2025,14,5,187
817,911,General Inquiry,Low,Closed,5/22/2025,,,,256
818,78,General Inquiry,High,In Progress,7/27/2025,8/2/2025,6,4,273
819,464,Technical Support,Low,Closed,6/27/2025,7/21/2025,24,4,203
820,3654,Product Defect,Medium,In Progress,10/10/2024,,,,113
821,971,Shipping,Low,Closed,6/29/2024,,,,237
822,3316,Technical Support,Medium,Escalated,9/3/2024,9/12/2024,9,2,297
823,2442,Technical Support,Medium,Closed,7/14/2025,7/17/2025,3,5,106
824,3917,Return Request,Low,Closed,8/24/2024,9/15/2024,22,3,3
825,1267,Technical Support,Medium,In Progress,2/26/2025,3/14/2025,16,4,267
826,4671,Product Defect,Medium,Escalated,12/22/2025,,,,18
827,3149,Account Issue,Low,Escalated,5/1/2026,,,,11
828,1752,Shipping,Low,In Progress,9/27/2025,10/21/2025,24,2,113
829,2088,Technical Support,Low,Resolved,8/16/2024,,,,173
830,4268,Shipping,Low,Open,10/22/2025,11/12/2025,21,2,170
831,7,Account Issue,Low,In Progress,1/19/2026,2/7/2026,19,3,24
832,4129,Product Defect,Medium,Closed,12/21/2025,12/30/2025,9,5,84
833,3697,Shipping,High,Resolved,7/18/2024,7/21/2024,3,4,155
834,2728,Billing,Low,Closed,2/7/2026,2/27/2026,20,5,106
835,4148,Account Issue,Medium,Open,8/1/2025,8/4/2025,3,3,58
836,422,Account Issue,Medium,In Progress,6/29/2025,6/29/2025,0,5,268
837,4297,Technical Support,Medium,Escalated,11/12/2025,11/12/2025,0,4,9
838,2499,General Inquiry,Medium,In Progress,10/10/2024,10/28/2024,18,4,192
839,3057,Billing,Medium,Open,9/18/2025,,,,268
840,694,Return Request,Low,In Progress,3/19/2026,4/17/2026,29,4,97
841,577,Product Defect,Medium,Resolved,5/7/2026,6/3/2026,27,1,4
842,3975,Billing,Medium,Resolved,6/11/2025,6/18/2025,7,5,4
843,4498,General Inquiry,Low,In Progress,12/16/2025,12/17/2025,1,1,213
844,530,Billing,Critical,Open,1/13/2025,,,,65
845,4896,Return Request,High,In Progress,10/19/2025,11/5/2025,17,1,39
846,3186,Technical Support,High,In Progress,12/18/2024,,,,99
847,1295,General Inquiry,Medium,Closed,2/27/2026,,,,152
848,2749,Technical Support,Low,In Progress,8/27/2025,9/14/2025,18,1,128
849,4437,Product Defect,Low,Escalated,4/18/2026,5/2/2026,14,2,193
850,1117,Billing,Critical,Closed,1/9/2025,1/23/2025,14,2,129
851,3458,Shipping,Low,Resolved,5/27/2025,,,,232
852,4947,Return Request,High,In Progress,3/30/2025,4/10/2025,11,1,194
853,2781,Billing,High,Escalated,3/28/2026,,,,171
854,3728,Product Defect,Low,In Progress,9/20/2025,9/25/2025,5,4,1
855,4600,General Inquiry,Low,Resolved,9/30/2025,10/10/2025,10,2,281
856,2444,Shipping,Medium,Closed,3/22/2026,4/1/2026,10,3,229
857,1000,Account Issue,Medium,In Progress,1/10/2025,2/4/2025,25,2,252
858,3117,Billing,Low,Resolved,2/5/2025,,,,80
859,2038,Technical Support,Low,Escalated,2/5/2025,2/11/2025,6,1,94
860,3944,Return Request,Medium,Escalated,8/30/2025,9/17/2025,18,3,83
861,2440,Account Issue,Critical,Escalated,6/6/2026,6/20/2026,14,1,217
862,3454,Shipping,Low,Open,1/15/2025,2/12/2025,28,1,167
863,3353,Product Defect,Medium,Resolved,7/16/2024,,,,283
864,3281,Shipping,Low,Closed,4/29/2025,5/16/2025,17,2,8
865,3401,General Inquiry,Critical,Escalated,8/14/2024,8/18/2024,4,3,288
866,1374,General Inquiry,Medium,Escalated,9/19/2024,9/21/2024,2,4,107
867,2188,General Inquiry,Medium,Resolved,7/31/2024,8/17/2024,17,4,58
868,3321,Technical Support,Low,Open,2/12/2026,3/7/2026,23,5,229
869,820,Technical Support,Medium,In Progress,1/7/2026,,,,295
870,423,Account Issue,High,Resolved,8/25/2025,9/19/2025,25,3,25
871,1766,Shipping,Low,Resolved,10/15/2024,10/24/2024,9,4,57
872,3670,Account Issue,High,Escalated,1/4/2025,,,,23
873,4291,Return Request,Medium,Closed,7/7/2024,7/30/2024,23,1,221
874,4714,Billing,Low,Closed,9/17/2024,10/17/2024,30,4,189
875,4106,Return Request,Low,Closed,11/30/2024,12/16/2024,16,2,80
876,1036,Technical Support,Medium,In Progress,5/3/2026,,,,298
877,4200,General Inquiry,High,In Progress,2/16/2026,2/20/2026,4,5,120
878,430,General Inquiry,Medium,Escalated,2/19/2025,3/13/2025,22,1,211
879,3085,Billing,Low,Escalated,1/7/2026,1/29/2026,22,1,121
880,4350,Account Issue,Medium,Escalated,9/17/2024,10/15/2024,28,1,285
881,4372,Account Issue,Medium,Open,4/15/2026,5/8/2026,23,4,228
882,3101,Account Issue,Low,Escalated,6/8/2026,7/1/2026,23,3,63
883,2015,Shipping,Medium,Escalated,11/24/2025,12/4/2025,10,5,123
884,2531,Billing,Medium,In Progress,9/23/2024,9/27/2024,4,3,192
885,2188,General Inquiry,Medium,In Progress,1/13/2025,1/26/2025,13,1,34
886,3640,Billing,Medium,In Progress,8/20/2024,8/24/2024,4,2,258
887,1672,General Inquiry,Medium,Resolved,10/8/2024,,,,23
888,650,Return Request,Medium,Closed,4/14/2026,,,,179
889,601,Product Defect,Low,Open,3/10/2025,3/19/2025,9,2,23
890,4519,Shipping,Low,In Progress,11/7/2025,11/17/2025,10,3,18
891,2159,Shipping,Low,In Progress,3/12/2025,,,,142
892,3126,Account Issue,High,Resolved,3/1/2026,3/3/2026,2,1,52
893,2441,Account Issue,Medium,Closed,1/26/2026,2/6/2026,11,5,114
894,4452,Technical Support,Medium,Closed,6/25/2024,,,,283
895,1938,General Inquiry,Medium,Escalated,7/16/2025,8/2/2025,17,5,109
896,3686,Billing,High,Escalated,6/15/2024,6/23/2024,8,1,151
897,1913,Account Issue,High,Open,2/22/2025,,,,281
898,980,Billing,Medium,Closed,7/8/2025,7/19/2025,11,4,102
899,1160,Account Issue,Low,In Progress,1/22/2026,2/19/2026,28,1,58
900,2286,Account Issue,Medium,Closed,9/4/2025,9/15/2025,11,5,46
901,715,Product Defect,Critical,Open,12/8/2024,1/7/2025,30,2,266
902,4114,Shipping,High,Resolved,5/19/2025,6/9/2025,21,3,58
903,3586,Billing,Low,Escalated,1/28/2026,1/31/2026,3,3,252
904,4906,Return Request,Low,Open,5/12/2025,6/8/2025,27,3,146
905,4088,Product Defect,Medium,Escalated,8/2/2025,8/19/2025,17,1,191
906,1520,Shipping,Medium,In Progress,3/26/2026,4/15/2026,20,5,213
907,1084,General Inquiry,Critical,Escalated,4/3/2026,4/17/2026,14,4,210
908,1326,Account Issue,Low,Open,1/18/2026,2/13/2026,26,2,189
909,1912,Account Issue,Low,Closed,3/26/2025,4/16/2025,21,3,107
910,1584,Billing,High,Open,1/4/2026,1/29/2026,25,2,37
911,3162,Return Request,High,Resolved,9/26/2024,10/22/2024,26,5,69
912,2224,Shipping,Medium,Open,10/7/2024,,,,52
913,80,Shipping,Low,In Progress,7/30/2025,8/11/2025,12,3,182
914,1744,Return Request,Low,In Progress,6/13/2025,7/4/2025,21,1,145
915,4583,Return Request,Low,Escalated,6/25/2025,7/15/2025,20,2,177
916,2434,Return Request,Medium,Escalated,1/2/2026,1/2/2026,0,5,15
917,3853,Account Issue,Medium,Resolved,2/13/2026,2/28/2026,15,4,278
918,2172,Technical Support,Low,Closed,5/28/2026,,,,285
919,2021,Return Request,High,Resolved,5/25/2025,6/3/2025,9,1,23
920,1296,Return Request,Medium,Open,11/16/2024,12/8/2024,22,4,259
921,129,Return Request,High,Escalated,3/31/2025,4/21/2025,21,1,97
922,894,General Inquiry,Medium,Closed,2/23/2025,,,,216
923,327,Account Issue,Low,Escalated,6/9/2025,6/28/2025,19,3,260
924,2040,General Inquiry,Low,Escalated,7/24/2024,8/2/2024,9,5,209
925,967,Technical Support,Critical,Resolved,5/4/2026,5/18/2026,14,4,154
926,663,Technical Support,Low,Resolved,10/12/2024,11/3/2024,22,2,66
927,4547,Shipping,Medium,Escalated,7/14/2025,7/14/2025,0,3,200
928,3355,Billing,Medium,Resolved,4/14/2026,5/6/2026,22,5,163
929,1987,Shipping,Critical,Resolved,9/3/2025,9/3/2025,0,5,88
930,3294,Return Request,Low,Resolved,4/14/2026,5/2/2026,18,4,98
931,4342,Shipping,Medium,Open,4/9/2025,5/4/2025,25,5,209
932,2837,Technical Support,Medium,Escalated,8/18/2025,9/12/2025,25,3,2
933,2805,Billing,Low,In Progress,4/19/2026,,,,41
934,654,Account Issue,Low,Escalated,2/23/2025,,,,6
935,3485,Return Request,Medium,Resolved,5/25/2026,6/22/2026,28,1,88
936,1459,Billing,Medium,Resolved,7/19/2024,8/5/2024,17,4,299
937,354,Technical Support,Low,Resolved,8/14/2025,9/2/2025,19,1,32
938,70,Return Request,Medium,Open,11/11/2024,11/16/2024,5,3,181
939,1394,Technical Support,Low,Open,11/7/2025,,,,125
940,2800,General Inquiry,Low,Resolved,1/8/2025,1/12/2025,4,4,188
941,323,Technical Support,Low,Escalated,8/21/2025,9/3/2025,13,5,202
942,898,Shipping,Medium,In Progress,5/25/2025,5/30/2025,5,2,78
943,1384,Return Request,Medium,Open,1/10/2025,2/6/2025,27,2,177
944,3272,Product Defect,Critical,Closed,5/10/2026,6/2/2026,23,5,43
945,4139,Technical Support,Low,Closed,4/10/2026,4/10/2026,0,4,267
946,2422,Shipping,High,In Progress,11/12/2025,12/9/2025,27,4,238
947,1829,Return Request,Low,Escalated,11/16/2025,12/3/2025,17,5,12
948,4328,Product Defect,Low,Resolved,6/9/2024,6/16/2024,7,5,188
949,1751,General Inquiry,Low,In Progress,9/14/2024,,,,142
950,1580,Billing,Medium,Escalated,5/20/2026,6/3/2026,14,2,270
951,3684,General Inquiry,Low,Closed,1/5/2026,1/8/2026,3,4,16
952,4874,General Inquiry,Low,Resolved,7/28/2024,8/4/2024,7,4,98
953,2851,Return Request,Low,Open,8/28/2024,9/4/2024,7,5,96
954,4208,Shipping,Critical,Escalated,2/20/2026,2/28/2026,8,2,91
955,3734,General Inquiry,Medium,Escalated,12/31/2024,1/28/2025,28,2,108
956,1941,Return Request,Medium,Open,2/6/2025,2/15/2025,9,4,30
957,3080,Shipping,Low,Resolved,7/4/2025,7/29/2025,25,5,55
958,4073,Billing,Medium,Closed,9/3/2025,,,,142
959,1472,Product Defect,High,Closed,9/7/2025,10/6/2025,29,1,43
960,707,Billing,Medium,Resolved,6/29/2024,,,,273
961,3064,Shipping,Low,Escalated,7/6/2025,7/25/2025,19,5,187
962,1714,Account Issue,High,Resolved,1/1/2026,1/13/2026,12,5,79
963,3989,General Inquiry,Low,In Progress,9/21/2025,9/25/2025,4,2,41
964,4227,Account Issue,Medium,Escalated,11/4/2025,11/13/2025,9,3,155
965,73,Shipping,Low,In Progress,3/8/2026,4/5/2026,28,2,256
966,1515,Account Issue,Low,Closed,12/31/2025,1/13/2026,13,4,147
967,24,Return Request,Medium,In Progress,7/23/2025,8/14/2025,22,5,188
968,4932,General Inquiry,Medium,Closed,6/22/2025,6/28/2025,6,1,158
969,3958,Technical Support,High,Resolved,1/14/2026,2/2/2026,19,2,162
970,3036,Technical Support,Medium,Escalated,12/24/2025,1/10/2026,17,4,13
971,4253,Billing,Medium,Escalated,11/10/2024,11/27/2024,17,1,51
972,1220,General Inquiry,High,Closed,4/23/2026,4/25/2026,2,4,192
973,2808,Billing,Medium,Closed,10/1/2024,10/30/2024,29,4,48
974,4403,Technical Support,Medium,In Progress,9/23/2025,10/19/2025,26,1,183
975,4436,Account Issue,High,In Progress,11/23/2024,12/4/2024,11,3,264
976,3230,General Inquiry,Low,In Progress,5/7/2026,5/11/2026,4,1,213
977,4916,Return Request,Medium,Escalated,11/23/2024,12/23/2024,30,4,85
978,2567,Billing,Medium,Resolved,5/7/2025,5/9/2025,2,2,275
979,3085,Return Request,High,Open,12/6/2025,,,,99
980,4393,General Inquiry,Low,Escalated,8/16/2025,,,,42
981,1597,Product Defect,High,In Progress,10/4/2024,10/31/2024,27,1,107
982,4196,Shipping,Low,In Progress,2/21/2025,,,,160
983,2039,Return Request,Medium,Open,10/22/2025,11/6/2025,15,3,242
984,3991,Return Request,Medium,Closed,3/22/2026,4/6/2026,15,2,186
985,3742,Product Defect,Low,Open,2/19/2025,,,,232
986,3582,Billing,Medium,Closed,8/5/2025,8/7/2025,2,5,258
987,2486,General Inquiry,Low,In Progress,5/18/2025,,,,286
988,4146,Technical Support,Low,Open,2/5/2025,2/19/2025,14,2,58
989,1480,Technical Support,Low,Escalated,9/16/2024,9/26/2024,10,2,103
990,2641,General Inquiry,Low,Resolved,7/25/2025,8/20/2025,26,3,282
991,2241,Product Defect,Medium,Open,7/23/2024,8/22/2024,30,2,56
992,201,Shipping,Low,In Progress,3/9/2026,,,,229
993,2193,Product Defect,Critical,Escalated,7/28/2024,,,,123
994,2943,Technical Support,High,Open,6/11/2025,6/13/2025,2,3,265
995,849,Account Issue,Low,Escalated,6/3/2026,6/6/2026,3,3,218
996,2673,Return Request,Medium,Open,5/30/2025,6/3/2025,4,4,143
997,3859,General Inquiry,Medium,Resolved,2/26/2025,,,,14
998,1843,Shipping,Low,In Progress,6/11/2025,6/14/2025,3,3,259
999,4645,Shipping,Medium,Open,8/7/2024,8/26/2024,19,2,41
1000,444,Product Defect,Medium,Closed,8/10/2025,8/30/2025,20,5,40
1001,3768,Return Request,Medium,Closed,1/2/2025,,,,85
1002,3493,Billing,Medium,In Progress,12/17/2025,12/22/2025,5,2,66
1003,4144,General Inquiry,Medium,Escalated,2/6/2025,2/25/2025,19,4,217
1004,4311,Product Defect,Low,In Progress,4/23/2025,5/14/2025,21,5,274
1005,960,Billing,Medium,Escalated,11/23/2024,11/27/2024,4,5,179
1006,2094,Technical Support,Medium,Escalated,3/6/2026,,,,52
1007,3586,General Inquiry,Medium,In Progress,6/19/2025,7/10/2025,21,2,260
1008,449,Return Request,Low,In Progress,3/27/2026,4/4/2026,8,1,1
1009,4981,Shipping,Medium,Open,8/12/2025,8/22/2025,10,1,104
1010,3807,Account Issue,Low,In Progress,1/28/2026,2/6/2026,9,5,144
1011,3499,Shipping,Medium,Open,10/19/2024,11/8/2024,20,2,25
1012,288,Shipping,Critical,Closed,2/16/2025,,,,189
1013,1897,Technical Support,Medium,Open,8/31/2025,9/15/2025,15,1,2
1014,2054,Billing,High,Resolved,2/28/2026,3/4/2026,4,1,28
1015,342,Account Issue,Low,Escalated,11/25/2025,12/18/2025,23,4,158
1016,7,Technical Support,Low,Resolved,7/15/2024,8/7/2024,23,3,118
1017,3487,Shipping,High,Escalated,8/23/2024,9/8/2024,16,3,8
1018,775,General Inquiry,Low,Escalated,6/6/2025,6/29/2025,23,5,280
1019,2696,General Inquiry,High,Open,9/10/2025,9/18/2025,8,5,6
1020,4526,Return Request,High,Resolved,12/9/2024,12/13/2024,4,4,167
1021,154,Technical Support,Critical,Resolved,3/11/2025,4/9/2025,29,3,248
1022,2614,Return Request,High,Resolved,10/21/2024,11/13/2024,23,1,47
1023,156,Shipping,High,Open,10/8/2024,,,,236
1024,641,Billing,High,In Progress,4/10/2026,5/7/2026,27,4,108
1025,3673,Shipping,High,Closed,6/7/2026,6/19/2026,12,1,236
1026,2572,Shipping,Medium,Escalated,9/16/2024,10/2/2024,16,1,224
1027,220,Shipping,Medium,In Progress,7/20/2024,8/19/2024,30,4,216
1028,1546,Product Defect,Medium,Resolved,5/31/2026,,,,209
1029,3639,Technical Support,Medium,Closed,1/10/2025,1/10/2025,0,5,59
1030,4212,Return Request,Medium,Resolved,5/11/2025,,,,229
1031,1547,Product Defect,Low,Escalated,4/3/2026,4/15/2026,12,5,219
1032,4375,Account Issue,Medium,In Progress,5/17/2026,5/28/2026,11,3,119
1033,1889,Return Request,Low,In Progress,12/20/2025,12/21/2025,1,1,26
1034,80,Product Defect,High,Escalated,9/18/2024,,,,31
1035,3040,General Inquiry,Low,Escalated,7/15/2024,7/23/2024,8,1,237
1036,4217,Product Defect,Medium,In Progress,4/3/2025,4/17/2025,14,1,120
1037,2014,Return Request,Medium,In Progress,3/20/2026,4/10/2026,21,4,198
1038,2316,General Inquiry,High,Escalated,5/31/2025,6/29/2025,29,1,173
1039,3184,Technical Support,Medium,In Progress,1/19/2026,,,,231
1040,2116,Account Issue,Medium,Resolved,5/9/2025,6/8/2025,30,4,286
1041,3657,Technical Support,Medium,Open,5/24/2026,5/27/2026,3,1,9
1042,4372,Billing,High,In Progress,4/29/2025,5/7/2025,8,2,224
1043,2019,Return Request,Medium,Resolved,1/29/2025,,,,22
1044,788,Billing,Low,In Progress,1/20/2026,,,,39
1045,225,Technical Support,Critical,Resolved,10/18/2025,11/13/2025,26,5,151
1046,849,Account Issue,Medium,Open,6/5/2026,6/26/2026,21,3,6
1047,3128,Product Defect,High,Escalated,2/23/2025,2/24/2025,1,1,56
1048,1273,Billing,Medium,Escalated,7/17/2025,8/7/2025,21,4,182
1049,4686,Billing,Low,Escalated,5/16/2026,5/31/2026,15,4,213
1050,2704,Account Issue,Medium,Escalated,11/8/2024,11/8/2024,0,5,62
1051,4751,Shipping,Medium,Escalated,3/10/2025,3/19/2025,9,4,242
1052,2799,Billing,High,In Progress,10/25/2024,11/7/2024,13,5,208
1053,2335,Account Issue,Critical,Open,4/8/2026,,,,211
1054,3388,Billing,Low,Escalated,4/14/2026,5/8/2026,24,4,149
1055,3323,Product Defect,Low,Open,4/8/2025,4/11/2025,3,1,218
1056,2679,Account Issue,Medium,Resolved,5/4/2025,5/25/2025,21,3,220
1057,3751,Account Issue,Medium,Closed,5/5/2025,5/10/2025,5,3,284
1058,4875,Account Issue,Low,Open,9/12/2025,9/13/2025,1,3,282
1059,3389,Shipping,Low,In Progress,6/14/2025,6/26/2025,12,5,117
1060,373,Shipping,High,Closed,10/18/2024,11/6/2024,19,1,161
1061,1541,Billing,Medium,Resolved,10/29/2024,11/12/2024,14,2,49
1062,1506,Return Request,Low,Closed,7/8/2025,7/15/2025,7,4,98
1063,2574,Return Request,Low,Escalated,9/28/2024,,,,88
1064,3280,Billing,High,Closed,7/4/2025,7/21/2025,17,2,286
1065,416,Technical Support,Medium,In Progress,1/24/2025,1/24/2025,0,4,254
1066,2707,General Inquiry,Medium,Open,9/17/2024,10/13/2024,26,3,115
1067,386,Product Defect,Low,Closed,8/19/2024,8/28/2024,9,2,284
1068,1822,Billing,Low,Resolved,8/6/2024,9/3/2024,28,2,182
1069,1614,Technical Support,Critical,In Progress,3/7/2025,,,,171
1070,708,Billing,Medium,Escalated,4/18/2025,4/18/2025,0,5,118
1071,446,Shipping,High,Open,8/18/2025,8/20/2025,2,4,191
1072,1008,Return Request,Low,Closed,7/18/2024,7/20/2024,2,3,86
1073,2800,Shipping,Critical,Resolved,9/10/2024,10/2/2024,22,5,103
1074,1477,Product Defect,Low,In Progress,4/1/2025,4/29/2025,28,2,136
1075,2025,Technical Support,High,Closed,7/25/2025,7/27/2025,2,1,256
1076,2925,General Inquiry,Medium,In Progress,1/7/2026,2/3/2026,27,3,9
1077,4149,Return Request,Low,Resolved,9/27/2025,10/5/2025,8,5,216
1078,3458,Account Issue,Low,Resolved,7/29/2025,,,,207
1079,2598,Shipping,High,Open,7/28/2024,8/22/2024,25,1,72
1080,12,Return Request,Low,Resolved,7/27/2025,,,,108
1081,1953,Product Defect,Low,Escalated,12/31/2025,1/30/2026,30,5,14
1082,1298,General Inquiry,Low,Escalated,11/25/2025,12/7/2025,12,2,177
1083,3120,Return Request,Low,Escalated,12/16/2024,1/9/2025,24,3,82
1084,66,Return Request,High,Escalated,3/1/2026,3/4/2026,3,5,58
1085,1713,General Inquiry,Medium,Escalated,8/21/2025,9/17/2025,27,1,270
1086,4619,Technical Support,Medium,Closed,7/6/2025,7/25/2025,19,4,75
1087,1908,Billing,Low,Open,2/22/2026,2/24/2026,2,4,27
1088,250,General Inquiry,Low,Escalated,8/11/2024,8/12/2024,1,3,173
1089,751,Technical Support,High,Resolved,1/30/2025,2/24/2025,25,2,295
1090,2754,Shipping,High,Escalated,1/15/2026,1/26/2026,11,5,185
1091,2724,Shipping,Medium,In Progress,11/27/2024,12/21/2024,24,3,101
1092,1428,Technical Support,Critical,Resolved,7/10/2025,7/24/2025,14,2,200
1093,3505,General Inquiry,Low,Closed,9/10/2024,9/10/2024,0,5,44
1094,2757,Shipping,Medium,Resolved,5/28/2025,6/15/2025,18,4,147
1095,4963,Account Issue,Low,Resolved,10/24/2024,11/6/2024,13,4,142
1096,1012,General Inquiry,Low,Closed,2/14/2026,3/11/2026,25,2,101
1097,2454,Technical Support,Medium,Escalated,4/21/2025,4/30/2025,9,2,272
1098,3929,Shipping,High,Open,9/1/2025,9/8/2025,7,1,299
1099,3024,Account Issue,Low,Resolved,7/28/2025,,,,285
1100,4415,Product Defect,High,Escalated,10/12/2025,,,,158
1101,909,General Inquiry,Low,Open,4/4/2025,4/4/2025,0,3,122
1102,2868,Shipping,Low,Resolved,8/5/2024,8/29/2024,24,1,97
1103,1758,Technical Support,Medium,In Progress,6/17/2025,6/26/2025,9,2,75
1104,1598,Billing,Medium,Open,2/12/2025,,,,63
1105,1324,Billing,Medium,Closed,5/31/2026,6/5/2026,5,3,277
1106,1141,Account Issue,Medium,In Progress,4/10/2026,4/10/2026,0,5,177
1107,4886,Shipping,Low,In Progress,9/21/2024,,,,141
1108,1980,Product Defect,Low,Open,12/18/2024,12/21/2024,3,2,216
1109,2648,Return Request,Medium,In Progress,8/2/2024,8/25/2024,23,2,281
1110,3877,General Inquiry,Low,Escalated,10/23/2025,11/8/2025,16,1,65
1111,184,Return Request,Medium,Resolved,3/17/2025,,,,80
1112,2661,Billing,Low,Resolved,11/1/2025,11/19/2025,18,2,238
1113,1120,Product Defect,Low,Escalated,1/28/2026,,,,145
1114,1860,Account Issue,Critical,Open,3/24/2025,4/6/2025,13,1,60
1115,2610,Product Defect,Critical,Closed,6/23/2025,7/8/2025,15,2,21
1116,3769,Account Issue,Low,Resolved,6/20/2025,6/29/2025,9,5,256
1117,1236,Billing,Medium,In Progress,11/18/2024,12/14/2024,26,2,28
1118,4031,General Inquiry,High,Open,10/12/2024,,,,200
1119,4571,Product Defect,Medium,Escalated,12/12/2024,12/13/2024,1,3,256
1120,613,Shipping,High,In Progress,5/12/2025,5/31/2025,19,2,162
1121,1603,Return Request,Medium,Resolved,1/12/2025,1/30/2025,18,2,172
1122,4603,General Inquiry,Critical,In Progress,8/8/2025,,,,291
1123,4323,Return Request,Medium,Closed,9/19/2025,10/6/2025,17,4,93
1124,1579,Product Defect,Low,Escalated,9/10/2025,9/30/2025,20,5,57
1125,189,Return Request,Medium,Escalated,10/19/2024,,,,113
1126,2995,Return Request,Low,Closed,10/12/2024,10/18/2024,6,1,237
1127,4243,Product Defect,Medium,Resolved,3/4/2026,3/15/2026,11,1,187
1128,924,Return Request,Low,Open,3/16/2025,3/31/2025,15,1,191
1129,1457,Technical Support,Medium,In Progress,9/6/2025,,,,190
1130,4113,Shipping,Medium,Open,12/13/2025,,,,137
1131,942,Account Issue,Critical,Open,12/5/2024,12/9/2024,4,3,81
1132,1446,Account Issue,High,In Progress,7/12/2025,7/13/2025,1,5,233
1133,900,Return Request,Medium,Escalated,6/7/2025,7/6/2025,29,4,282
1134,3690,Product Defect,Medium,Open,2/26/2025,,,,126
1135,934,Product Defect,Low,Resolved,8/21/2025,9/10/2025,20,2,51
1136,2378,General Inquiry,Low,Open,12/9/2025,,,,159
1137,2507,Billing,Medium,Resolved,7/3/2024,7/23/2024,20,4,264
1138,3307,Shipping,Low,In Progress,11/17/2024,12/14/2024,27,4,182
1139,1229,Product Defect,High,In Progress,2/17/2026,2/21/2026,4,5,58
1140,4075,Product Defect,Low,In Progress,9/30/2025,10/25/2025,25,4,77
1141,2563,Billing,Low,Closed,10/27/2025,,,,90
1142,2859,Billing,Critical,In Progress,12/25/2025,12/29/2025,4,4,72
1143,264,Product Defect,High,Closed,2/24/2025,2/24/2025,0,3,138
1144,2774,Account Issue,Low,In Progress,9/2/2024,9/18/2024,16,3,287
1145,4401,Account Issue,Low,Closed,6/18/2024,7/4/2024,16,2,286
1146,13,Shipping,Low,Open,3/22/2025,4/2/2025,11,2,5
1147,2966,Account Issue,Medium,Resolved,7/31/2024,8/20/2024,20,1,57
1148,949,Product Defect,Low,Open,11/28/2024,12/11/2024,13,1,74
1149,2642,Technical Support,Medium,Open,7/31/2025,8/20/2025,20,1,1
1150,440,Product Defect,High,In Progress,1/3/2025,2/1/2025,29,1,21
1151,4209,Product Defect,Medium,Resolved,10/20/2025,,,,219
1152,3046,Billing,Medium,Escalated,8/4/2025,,,,102
1153,2188,Product Defect,Medium,In Progress,1/19/2026,,,,100
1154,3862,General Inquiry,Low,Open,1/19/2025,2/12/2025,24,5,186
1155,1991,Account Issue,High,Closed,12/4/2024,12/14/2024,10,5,126
1156,4887,Technical Support,Low,In Progress,6/9/2024,,,,7
1157,1739,Product Defect,Low,Resolved,10/15/2024,,,,135
1158,3846,General Inquiry,Low,Resolved,2/18/2026,3/8/2026,18,2,88
1159,1111,Account Issue,Low,Open,4/6/2026,,,,275
1160,2986,Technical Support,Medium,Open,5/11/2025,5/23/2025,12,5,75
1161,503,Return Request,Low,Resolved,9/15/2024,10/11/2024,26,4,183
1162,1704,Shipping,Low,Escalated,5/7/2026,5/30/2026,23,5,299
1163,1680,Product Defect,Low,Closed,12/23/2025,1/4/2026,12,3,126
1164,618,Account Issue,High,In Progress,8/18/2024,8/26/2024,8,4,82
1165,3081,Return Request,Low,Resolved,9/21/2025,10/18/2025,27,4,49
1166,3274,Shipping,Low,Open,11/15/2025,12/15/2025,30,1,194
1167,4852,Return Request,High,Open,6/28/2025,,,,262
1168,2811,Return Request,High,In Progress,10/4/2024,10/18/2024,14,3,126
1169,560,Shipping,High,Escalated,1/1/2026,1/11/2026,10,5,138
